???????	????	????	??
"196 (2021)"	"MCI Detection Using Kernel Eigen-Relative-Power Features of EEG Signals"	"Actuators"	"Y.-T. Hsiao, C.-F. Tsai, C.-T. Wu, T.-T. Trinh, C.-Y. Lee, and Y.-H. Liu"
"197 (2015)"	"A novel biomarker of amnestic MCI based on dynamic cross-frequency coupling patterns during cognitive brain responses"	"Front Neurosci"	"S. I. Dimitriadis, N. A. Laskaris, M. P. Bitzidou, I. Tarnanas, and M. N. Tsolaki"
"198 (2015)"	"A theta-band EEG based index for early diagnosis of Alzheimer's disease"	"J Alzheimers Dis"	"E. Gallego-Jutgla, J. Sole-Casals, F. B. Vialatte, J. Dauwels, and A. Cichocki"
"199 (2017)"	"EEG/ERP: Within Episodic Assessment Framework for Cognition"	"IEEE Transactions on Instrumentation and Measurement"	"B. Wallace, F. Knoefel, R. Goubran, R. A. Lopez Zunini, Z. Ren, and A. Maccosham"
"200 (2019)"	"A Single-Channel EEG-Based Approach to Detect Mild Cognitive Impairment via Speech-Evoked Brain Responses"	"IEEE Trans Neural Syst Rehabil Eng"	"S. Khatun, B. I. Morshed, and G. M. Bidelman"
"201 (2024)"	"Deep insights into MCI diagnosis: A comparative deep learning analysis of EEG time series"	"J Neurosci Methods"	"M. Seker and M. S. Ozerdem"
"202 (2019)"	"A convolutional neural network approach for classification of dementia stages based on 2D-spectral representation of EEG recordings"	"Neurocomputing"	"C. Ieracitano, N. Mammone, A. Bramanti, A. Hussain, and F. C. Morabito"
"203 (2023)"	"Machine Learning on Visibility Graph Features Discriminates the Cognitive Event-Related Potentials of Patients with Early Alzheimer's Disease from Healthy Aging"	"Brain Sci"	"J. Zhang, J. Xia, X. Liu, and J. Olichney"
"204 (2021)"	"A New dispersion entropy and fuzzy logic system methodology for automated classification of dementia stages using electroencephalograms"	"Clin Neurol Neurosurg"	"J. P. Amezquita-Sanchez, N. Mammone, F. C. Morabito, and H. Adeli"
"205 (2023)"	"A Classification Framework Based on Multi-modal Features for Detection of Cognitive Impairments"	"Intelligent Robotics (Communications in Computer and Information Science)"	"S. Chen, H. Xie, H. Yang, C. Fan, Z. Hou, and C. Zhang"
"206 (2023)"	"EEG-Based Functional Connectivity Analysis for Cognitive Impairment Classification"	"Electronics"	"I. Echeverri-Ocampo et al."
"207 (2013)"	"Improved detection of amnestic MCI by means of discriminative vector quantization of single-trial cognitive ERP responses"	"J Neurosci Methods"	"N. A. Laskaris, I. Tarnanas, M. N. Tsolaki, N. Vlaikidis, and A. K. Karlovasitou"
"208 (2015)"	"An improved I-FAST system for the diagnosis of Alzheimer's disease from unprocessed electroencephalograms by using robust invariant features"	"Artif Intell Med"	"M. Buscema, F. Vernieri, G. Massini, F. Scrascia, M. Breda, P. M. Rossini, and E. Grossi"
"209 (2015)"	"On the comparison of a novel serious game and electroencephalography biomarkers for early dementia screening"	"Adv Exp Med Biol"	"I. Tarnanas, N. Laskaris, M. Tsolaki, R. Muri, T. Nef, and U. P. Mosimann"
"210 (2016)"	"Classification Method for Mild Cognitive Impairment Based on Power Variability of EEG Using Only a Few Electrodes"	"Electronics and Communications in Japan"	"T. Ueda, T. Musha, T. Asada, and T. Yagi"
"211 (2017)"	"Classification of mild cognitive impairment EEG using combined recurrence and cross recurrence quantification analysis"	"Int J Psychophysiol"	"L. T. Timothy, B. M. Krishna, and U. Nair"
"212 (2011)"	"Improving the specificity of EEG for diagnosing Alzheimer's disease"	"Int J Alzheimers Dis"	"F. B. Vialatte, J. Dauwels, M. Maurice, T. Musha, and A. Cichocki"
"213 (2021)"	"Constructing biomarker for early diagnosis of aMCI based on combination of multiscale fuzzy entropy and functional brain connectivity"	"Biomedical Signal Processing and Control"	"R. Su, X. Li, Z. Li, Y. Han, W. Cui, P. Xie, and Y. Liu"
"214 (2015)"	"Discrimination of mild cognitive impairment and Alzheimer's disease using transfer entropy measures of scalp EEG"	"J Healthc Eng"	"J. McBride, X. Zhao, N. Munro, G. Jicha, C. Smith, and Y. Jiang"
"215 (2024)"	"Mild Cognitive Impairment detection based on EEG and HRV data"	"Digital Signal Processing"	"A. Boudaya, S. Chaabene, B. Bouaziz, A. H?kelmann, and L. Chaari"
"216 (2021)"	"A Pilot Study on Visually Stimulated Cognitive Tasks for EEG-Based Dementia Recognition"	"IEEE Transactions on Instrumentation and Measurement"	"S. Kongwudhikunakorn et al."
"217 (2019)"	"Recurrence Quantification Analysis of Mci Eeg under Resting and Visual Memory Task Conditions"	"Biomedical Engineering: Applications, Basis and Communications"	"L. T. Timothy, B. M. Krishna, and U. Nair"
"218 (2014)"	"Spectral and complexity analysis of scalp EEG characteristics for mild cognitive impairment and early Alzheimer's disease"	"Comput Methods Programs Biomed"	"J. C. McBride et al."
"219 (2024)"	"A tensor decomposition scheme for EEG-based diagnosis of mild cognitive impairment"	"Heliyon"	"A. Faghfouri, V. Shalchyan, H. G. Toor, I. Amjad, and I. K. Niazi"
"220 (2022)"	"EEG Entropy in REM Sleep as a Physiologic Biomarker in Early Clinical Stages of Alzheimer?s Disease"	"Journal of Alzheimer's Disease"	"H. Azami, S. Moguilner, H. Penagos, R. A. Sarkis, S. E. Arnold, S. N. Gomperts, and A. D. Lam"
"221 (2018)"	"EEG and ERP biomarkers of Alzheimer's disease: a critical review"	"Frontiers in bioscience (Landmark edition)"	"A. Horvath, A. Szucs, G. Csukly, A. Sakovics, G. Stefanics, and A. Kamondi"
"222 (2019)"	"Early Alzheimer?s disease diagnosis based on EEG spectral images using deep learning"	"Neural Networks"	"X. Bi and H. Wang"
"223 (2022)"	"EEG functional connectivity and deep learning for automatic diagnosis of brain disorders: Alzheimer?s disease and schizophrenia"	"Journal of Physics: complexity"	"C. L. Alves, A. M. Pineda, K. Roster, C. Thielemann, and F. A. Rodrigues"
"224 (2018)"	"Detection of early stage Alzheimer?s disease using EEG relative power with deep neural network"	"2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)"	"D. Kim and K. Kim"
"225 (2020)"	"Deep learning to detect Alzheimer's disease from neuroimaging: A systematic literature review"	"Computer methods and programs in biomedicine"	"M. A. Ebrahimighahnavieh, S. Luo, and R. Chiong"
"226 (2015)"	"Deep learning in neural networks: An overview"	"Neural networks"	"J. Schmidhuber"
"227 (2024)"	"Generative ai"	"Business & Information Systems Engineering"	"S. Feuerriegel, J. Hartmann, C. Janiesch, and P. Zschech"
"228 (2021)"	"Improving EEG-based Alzheimer?s Disease Identification with Generative Adversarial Learning"	"2021 40th Chinese Control Conference (CCC)"	"Z. Song, J. Wang, G. Yi, and B. Deng"
"229 (2023)"	"Generative adversarial networks in EEG analysis: an overview"	"Journal of NeuroEngineering and Rehabilitation"	"A. G. Habashi, A. M. Azab, S. Eldawlatly, and G. M. Aly"
"230 (2020)"	"A novel multi-modal machine learning based approach for automatic classification of EEG recordings in dementia"	"Neural Networks"	"C. Ieracitano, N. Mammone, A. Hussain, and F. C. Morabito"
"231 (2022)"	"Efficient deep neural networks for classification of Alzheimer?s disease and mild cognitive impairment from scalp EEG recordings"	"Cognitive Computation"	"S. Fouladi, A. A. Safaei, N. Mammone, F. Ghaderi, and M. Ebadi"
"232 (2023)"	"CNN for a regression machine learning algorithm for predicting cognitive impairment using qEEG"	"Neuropsychiatric Disease and Treatment"	"C. Simfukwe, Y. C. Youn, M.-J. Kim, J. Paik, and S.-H. Han"
"233 (2021)"	"Deep learning of resting-state electroencephalogram signals for three-class classification of Alzheimer?s disease, mild cognitive impairment and healthy ageing"	"Journal of Neural Engineering"	"C. J. Huggins et al."
"234 (2017)"	"ImageNet classification with deep convolutional neural networks"	"Communications of the ACM"	"A. Krizhevsky, I. Sutskever, and G. E. Hinton"
"235 (2016)"	"Deep residual learning for image recognition"	"Proceedings of the IEEE conference on computer vision and pattern recognition"	"K. He, X. Zhang, S. Ren, and J. Sun"
"236 (2017)"	"Mobilenets: Efficient convolutional neural networks for mobile vision applications"	"arXiv preprint arXiv:1704.04861"	"A. G. Howard et al."
"237 (2023)"	"New MCI detection method based on Transformer and EEG Data"	"2023 31st European Signal Processing Conference (EUSIPCO)"	"S. Chaabene, B. H. Hassan, A. Boudaya, L. Chaari, and B. Bouaziz"
"238 (2024)"	"Prediction of mild cognitive impairment using EEG signal and BiLSTM network"	"Machine Learning: Science and Technology"	"T. J. Alahmadi, A. U. Rahman, Z. A. Alhababi, S. Ali, and H. K. Alkahtani"
"239 (2022)"	"Diagnosis of Alzheimer's disease and Mild Cognitive Impairment using EEG and Recurrent Neural Networks"	"2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)"	"G. Gkenios, K. Latsiou, K. Diamantaras, I. Chouvarda, and M. Tsolaki"
"240 (2023)"	"Alzheimer?s diseases diagnosis using fusion of high informative BiLSTM and CNN features of EEG signal"	"Biomedical Signal Processing and Control"	"M. Imani"
"241 (2012)"	"Sleep stage classification using unsupervised feature learning"	"Advances in Artificial Neural Systems"	"M. L?ngkvist, L. Karlsson, and A. Loutfi"
"242 (2021)"	"Uncovering the structure of clinical EEG signals with self-supervised learning"	"Journal of Neural Engineering"	"H. Banville, O. Chehab, A. Hyv?rinen, D.-A. Engemann, and A. Gramfort"
"243 (2021)"	"Self-supervised learning for sleep stage classification with predictive and discriminative contrastive coding"	"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"	"Q. Xiao, J. Wang, J. Ye, H. Zhang, Y. Bu, Y. Zhang, and H. Wu"
"244 (2024)"	"Self-supervised Learning for Electroencephalogram: A Systematic Survey"	"arXiv preprint arXiv:2401.05446"	"W. Weng, Y. Gu, S. Guo, Y. Ma, Z. Yang, Y. Liu, and Y. Chen"
"245 (2022)"	"Self-supervised learning for electroencephalography"	"IEEE Transactions on Neural Networks and Learning Systems"	"M. H. Rafiei, L. V. Gauthier, H. Adeli, and D. Takabi"
"246 (2022)"	"Deep learning for unsupervised anomaly localization in industrial images: A survey"	"IEEE Transactions on Instrumentation and Measurement"	"X. Tao, X. Gong, X. Zhang, S. Yan, and C. Adak"
"247 (2023)"	"An approach toward artificial intelligence Alzheimer?s disease diagnosis using brain signals"	"diagnostics"	"S.-A. Sadegh-Zadeh, E. Fakhri, M. Bahrami, E. Bagheri, R. Khamsehashari, M. Noroozian, and A. M. Hajiyavand"
"248 (2023)"	"MEG Oscillatory Slowing in Cognitive Impairment is Associated with the Presence of Subjective Cognitive Decline"	"Clin EEG Neurosci"	"R. Bru?a et al."
"249 (2015)"	"Made: Masked autoencoder for distribution estimation"	"International conference on machine learning"	"M. Germain, K. Gregor, I. Murray, and H. Larochelle"
"250 (2018)"	"Generative adversarial networks: An overview"	"IEEE signal processing magazine"	"A. Creswell, T. White, V. Dumoulin, K. Arulkumaran, B. Sengupta, and A. A. Bharath"
"251 (2023)"	"Disambiguation of Cognitive Impairment Diagnosis with EEG-Based Dual-Contrastive Learning"	"ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"	"Z. Song, Z. Pei, H. Ren, L. Zhu, Y. Guo, and Z. Zhang"
"252 (2022)"	"A survey on deep semi-supervised learning"	"IEEE Transactions on Knowledge and Data Engineering"	"X. Yang, Z. Song, I. King, and Z. Xu"
"253 (2022)"	"A Semi-Supervised Progressive Learning Algorithm for Brain?Computer Interface"	"IEEE Transactions on Neural Systems and Rehabilitation Engineering"	"Y. Wei, J. Li, H. Ji, L. Jin, L. Liu, Z. Bai, and C. Ye"
"254 (2017)"	"Deep transfer learning with joint adaptation networks"	"International conference on machine learning"	"M. Long, H. Zhu, J. Wang, and M. I. Jordan"
"255 (2023)"	"Prediction and classification of Alzheimer disease categories using integrated deep transfer learning approach"	"Measurement: Sensors"	"M. Leela, K. Helenprabha, and L. Sharmila"
"256 (2018)"	"Reinforcement learning: An introduction"	"MIT press"	"R. S. Sutton and A. G. Barto"
"257 (2015)"	"Human-level control through deep reinforcement learning"	"nature"	"V. Mnih et al."
"258 (2011)"	"Multivariate multiscale entropy: a tool for complexity analysis of multichannel data"	"Phys Rev E Stat Nonlin Soft Matter Phys"	"M. U. Ahmed and D. P. Mandic"
"259 (2019)"	"Multivariate multiscale dispersion entropy of biomedical times series"	"Entropy"	"H. Azami, A. Fern?ndez, and J. Escudero"
"260 (2023)"	"Multivariate information theory uncovers synergistic subsystems of the human cerebral cortex"	"Communications biology"	"T. F. Varley, M. Pope, J. Faskowitz, and O. Sporns"
"261 (2020)"	"Networks beyond pairwise interactions: Structure and dynamics"	"Physics Reports"	"F. Battiston et al."
"262 (2023)"	"Partial entropy decomposition reveals higher-order information structures in human brain activity"	"Proceedings of the National Academy of Sciences"	"T. F. Varley, M. Pope, M. Grazia, Joshua, and O. Sporns"
"263 (2023)"	"Higher-order organization of multivariate time series"	"Nature Physics"	"A. Santoro, F. Battiston, G. Petri, and E. Amico"
"264 (2019)"	"Quantifying high-order interdependencies via multivariate extensions of the mutual information"	"Physical Review E"	"F. E. Rosas, P. A. Mediano, M. Gastpar, and H. J. Jensen"
"265 (2022)"	"Genuine high-order interactions in brain networks and neurodegeneration"	"Neurobiology of Disease"	"R. Herzog et al."
"266 (2022)"	"A new framework for the time-and frequency-domain assessment of high-order interactions in networks of random processes"	"IEEE Transactions on Signal Processing"	"L. Faes et al."
"267 (2024)"	"Causal Deep Learning: Encouraging Impact on Real-world Problems Through Causality"	"Foundations and Trends? in Signal Processing"	"J. Berrevoets, K. Kacprzyk, Z. Qian, and M. van der Schaar"
"268 (2021)"	"Explaining anomalies detected by autoencoders using Shapley Additive Explanations"	"Expert systems with applications"	"L. Antwarg, R. M. Miller, B. Shapira, and L. Rokach"
"269 (2016)"	" Why should i trust you?\" Explaining the predictions of any classifier"	"Proceedings of the 22nd ACM SIGKDD international conference on knowledge discovery and data mining"	"M. T. Ribeiro, S. Singh, and C. Guestrin"
"270 (2017)"	"Attention is all you need"	"Advances in neural information processing systems"	"A. Vaswani et al."
"271 (2021)"	"Multimodal prediction of alzheimer's disease severity level based on resting-state eeg and structural mri"	"Frontiers in human neuroscience"	"B. Jesus Jr, R. Cassani, W. J. McGeown, M. Cecchi, K. Fadem, and T. H. Falk"
"272 (2017)"	"Early changes in alpha band power and DMN BOLD activity in Alzheimer?s disease: a simultaneous resting state EEG-fMRI study"	"Frontiers in aging neuroscience"	"K. Brueggen, C. Fiala, C. Berger, S. Ochmann, C. Babiloni, and S. J. Teipel"
"273 (2020)"	"An EEG-fNIRS hybridization technique in the four-class classification of alzheimer?s disease"	"Journal of neuroscience methods"	"P. A. Cicalese et al."
"274 (2005)"	"The Montreal Cognitive Assessment, MoCA: a brief screening tool for mild cognitive impairment"	"Journal of the American Geriatrics Society"	"Z. S. Nasreddine et al."
"275 (1992)"	"The mini?mental state examination: a comprehensive review"	"Journal of the American Geriatrics Society"	"T. N. Tombaugh and N. J. McIntyre"
"276 (2005)"	"N?back working memory paradigm: A meta?analysis of normative functional neuroimaging studies"	"Human brain mapping"	"A. M. Owen, K. M. McMillan, A. R. Laird, and E. Bullmore"
"277 (2012)"	"Induced oscillatory responses during the Sternberg's visual memory task in patients with Alzheimer's disease and mild cognitive impairment"	"Neuroimage"	"R. Kurimoto et al."
""	""	""	""
